RGID,RGLB,RGPL,RGPU,RGSM
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS26_9_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS26_10_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS26_11_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS26_12_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS26_13_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS26_14_T1
H2HY7DSX7.4,lib1,illumina,H2HY7DSX7.4,PS26_15_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS28_1_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS28_2_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS28_3_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS28_4_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS28_5_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS28_6_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS28_7_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS31_1_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS31_2_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS31_3_T1
HH2NLDSX5.1,lib1,illumina,HH2NLDSX5.1,PS31_4_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS31_5_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS31_6_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS31_7_T1
HH2NLDSX5.1,lib1,illumina,HH2NLDSX5.1,PS31_8_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS31_9_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS31_10_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS31_11_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS31_12_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS31_13_T1
HH2NLDSX5.1,lib1,illumina,HH2NLDSX5.1,PS31_14_T1
